id,tipo,sku-pai,sku,ativo,usado,ncm,gtin,nome,descricao-completa,url-video-youtube,estoque-gerenciado,estoque-quantidade,estoque-situacao-em-estoque,estoque-situacao-sem-estoque,preco-sob-consulta,preco-custo,preco-cheio,preco-promocional,marca,peso-em-kg,altura-em-cm,largura-em-cm,comprimento-em-cm,categoria-nome-nivel-1,categoria-nome-nivel-2,categoria-nome-nivel-3,categoria-nome-nivel-4,categoria-nome-nivel-5,imagem-1,imagem-2,imagem-3,imagem-4,imagem-5,grade-genero,grade-tamanho-de-anelalianca,grade-tamanho-de-calca,grade-tamanho-de-camisacamiseta,grade-tamanho-de-capacete,grade-tamanho-de-tenis,grade-voltagem,grade-tamanho-juvenil-infantil,grade-produto-com-uma-cor,grade-produto-com-duas-cores,grade-tamanho-infantil,"",url-antiga
,com-variacao,,XP131863742,S,N,,,Liverpool - Third Kit (2022/23),Liverpool - Third Kit (2022/23) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Premier League,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/fbd022e3-6ba3-4252-a6f0-c149f138ded2-5a7eb92313b8c37db716623949706381-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/d982f9d0-10de-4810-8fc0-1aa85f0871fd-1710da3c964b07939516623949706672-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/da3d0ad2-e6af-4c94-9cb6-492190187de5-512fa83cd8d70a7ca616623949706252-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/5c707279-1708-4e38-84a6-0a4d3b01e2d5-9ff51677344654c50a16623949706404-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/b2cd3def-c591-4311-876c-6524d04867fa-16b4fa1c77338e1b3516623949707000-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP131863742,XP131863742-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP131863742,XP131863742-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP131863742,XP131863742-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP131863742,XP131863742-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP131863742,XP131863742-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,variacao,XP131863742,XP131863742-XGG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XGG,,,,,,,,,
,com-variacao,,XP131711883,S,N,,,Manchester United Feminino - Third Kit (2022/23),Manchester United Feminino - Third Kit (2022/23),,,,,,N,,,,,,,,,Camisas Feminina,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/f3adf2221-98515e12c4dfa2a21a16622268133550-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/9330dffd1-b22ccca8c3e66c620116622268135888-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/69e491911-7144e9b9b92839b18c16622268133264-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/11b8b76c1-7b94686b66996939ae16622268137103-640-0.jpg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/cdf710b51-9fd21072beb862001716622268137023-640-0.jpg,,,,,,,,,,,,,
,variacao,XP131711883,XP131711883-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP131711883,XP131711883-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP131711883,XP131711883-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP131711883,XP131711883-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP131711883,XP131711883-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,com-variacao,,XP131583245,S,N,,,São Paulo - Training Kit (2022),São Paulo - Training Kit (2022) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,Brasileirão,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/db383b9e-0488-4302-8c8c-b27f1ad9d928-535c12e86246832d1c16621313205487-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/51c5acb7-6137-437c-9aeb-93ab51ed4bca-18bf2150b65baa5a0916621313205887-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/da2d7f28-1639-4f2d-8017-274c809c6589-9bd0e79292849f1b2a16621313204366-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/05e182ae-9256-4c00-abc9-693633e71cd8-7b41210eab993f372816621313205621-640-0.jpeg,,,,,,,,,,,,,,
,variacao,XP131583245,XP131583245-P,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP131583245,XP131583245-M,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP131583245,XP131583245-G,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP131583245,XP131583245-GG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
,variacao,XP131583245,XP131583245-XG,S,N,,,,,,S,0,imediata,30 dias,N,,139.9,,,,,,,,,,,,,,,,,,,,XG,,,,,,,,,
,com-variacao,,XP131498922,S,N,,,Vasco - Home (2000),Vasco - Home (2000) Masculina Versão Torcedor,,,,,,N,,,,,,,,,Camisas Masculina,,,,,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/4e40a93d-a814-49b2-90b4-57fddf603a41-d7b8640030f1525a9516620627178510-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/917c4a38-013e-4acc-825f-d3be45f04f05-4a299d84f57ba92b7716620627177567-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/41d60fee-4983-4394-b910-6601d0f1bd0a-67694201a035e89f0d16620627178698-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/26859d5f-74d4-462c-b11f-4a6082c09500-f50e956a7141c7c6ea16620627178176-640-0.jpeg,https://d3ugyf2ht6aenh.cloudfront.net/stores/001/482/519/products/eef62dbf-1fd6-4dfe-9d5e-f88c041c1e5b-9cb112f9835361701216620627179037-640-0.jpeg,,,,,,,,,,,,,
,variacao,XP131498922,XP131498922-P,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
,variacao,XP131498922,XP131498922-M,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,
,variacao,XP131498922,XP131498922-G,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,
,variacao,XP131498922,XP131498922-GG,S,N,,,,,,S,0,imediata,30 dias,N,,169.9,,,,,,,,,,,,,,,,,,,,GG,,,,,,,,,
